species_label,xc_id,sci_name,source_path,selected,final_class,error,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,selected_reason,clip_path
columba_livia,862853,Columba livia,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/columba_livia/XC862853.mp3,0,drop,no_windows,,,,,,,,,,,
columba_livia,121680,Columba livia,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/columba_livia/XC121680.mp3,1,species,,9.0,12.0,-29.48126738623251,-32.59862805401409,species,Columba livia,Rock Pigeon,0.999859094619751,0.999859094619751,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/columba_livia/XC121680__s9000__e12000.wav
columba_livia,121680,Columba livia,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/columba_livia/XC121680.mp3,1,species,,18.0,21.0,-32.17705650273677,-32.59862805401409,species,Columba livia,Rock Pigeon,0.9966952800750732,0.9966952800750732,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/columba_livia/XC121680__s18000__e21000.wav
columba_livia,121680,Columba livia,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/columba_livia/XC121680.mp3,0,species,,21.0,24.0,-30.820937948226636,-32.59862805401409,species,Columba livia,Rock Pigeon,0.9992440938949585,0.9992440938949585,,
columba_livia,121680,Columba livia,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/columba_livia/XC121680.mp3,1,species,,24.0,27.0,-31.69296261551951,-32.59862805401409,species,Columba livia,Rock Pigeon,0.9954786896705627,0.9954786896705627,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/columba_livia/XC121680__s24000__e27000.wav
columba_livia,121680,Columba livia,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/columba_livia/XC121680.mp3,0,species,,27.0,30.0,-29.066478591432382,-32.59862805401409,species,Columba livia,Rock Pigeon,0.9935924410820007,0.9935924410820007,,
columba_livia,121680,Columba livia,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/columba_livia/XC121680.mp3,0,species,,30.0,33.0,-30.3934051677232,-32.59862805401409,species,Columba livia,Rock Pigeon,0.9881523251533508,0.9881523251533508,,
columba_livia,462611,Columba livia,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/columba_livia/XC462611.mp3,1,species,,1.0,4.0,-26.9700836796494,-34.65691979437073,species,Columba livia,Rock Pigeon,0.5255563259124756,0.5255563259124756,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/columba_livia/XC462611__s1000__e4000.wav
columba_livia,462611,Columba livia,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/columba_livia/XC462611.mp3,0,species,,4.0,7.0,-25.955393116918902,-34.65691979437073,species,Columba livia,Rock Pigeon,0.757140576839447,0.757140576839447,,
columba_livia,462611,Columba livia,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/columba_livia/XC462611.mp3,1,non_bird,,7.0,10.0,-34.23650440704043,-34.65691979437073,non_bird,,,0.0,0.0,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/columba_livia/XC462611__s7000__e10000.wav
columba_livia,462611,Columba livia,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/columba_livia/XC462611.mp3,0,species,,10.0,13.0,-29.989348981016654,-34.65691979437073,species,Columba livia,Rock Pigeon,0.8567202687263489,0.8567202687263489,,
columba_livia,462611,Columba livia,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/columba_livia/XC462611.mp3,1,species,,13.0,16.0,-30.530297349418042,-34.65691979437073,species,Columba livia,Rock Pigeon,0.864337682723999,0.864337682723999,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/columba_livia/XC462611__s13000__e16000.wav
columba_livia,462611,Columba livia,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/columba_livia/XC462611.mp3,1,species,,19.0,22.0,-33.03725614438566,-34.65691979437073,species,Columba livia,Rock Pigeon,0.36358755826950073,0.36358755826950073,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/columba_livia/XC462611__s19000__e22000.wav
columba_livia,364890,Columba livia,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/columba_livia/XC364890.mp3,0,drop,,1.0,4.0,-24.627597519823144,-25.91591794974023,drop,Columbina talpacoti,Ruddy Ground Dove,0.5603542327880859,0.5603542327880859,,
